Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,322.5,322.5,322.5,322.5,256.7228088378906,0
2003-01-02,322.5,322.5,322.5,322.5,256.7228088378906,0
2003-01-03,322.5,322.5,322.5,322.5,256.7228088378906,0
2003-01-06,337.25,337.25,330.75,332.0,264.2851257324219,1152000
2003-01-07,328.75,335.0,328.25,331.25,263.68804931640625,2640000
2003-01-08,331.5,331.5,325.25,329.5,262.29498291015625,2256000
2003-01-09,325.0,329.75,321.25,327.25,260.50390625,2196000
2003-01-10,328.5,330.0,319.75,324.0,257.9168701171875,2964000
2003-01-13,324.0,324.0,324.0,324.0,257.9168701171875,0
2003-01-14,325.25,327.5,322.5,323.25,257.31976318359375,2256000
2003-01-15,323.75,323.75,320.75,322.75,256.92181396484375,2512000
2003-01-16,323.0,327.0,322.75,326.25,259.7079162597656,1528000
2003-01-17,322.5,327.5,321.75,324.0,257.9168701171875,1552000
2003-01-20,320.5,324.5,318.25,322.25,256.52362060546875,3956000
2003-01-21,323.75,330.0,322.25,327.75,260.9020080566406,2572000
2003-01-22,329.75,330.0,320.75,324.0,257.9168701171875,3820000
2003-01-23,327.5,332.0,322.5,330.0,262.6930236816406,2756000
2003-01-24,333.75,333.75,322.5,328.0,261.1009216308594,2916000
2003-01-27,323.0,328.75,321.25,328.75,261.69793701171875,2160000
2003-01-28,324.25,326.0,322.5,325.0,258.7128601074219,2044000
2003-01-29,324.25,324.25,317.5,320.0,254.73265075683594,3112000
2003-01-30,324.75,325.5,319.0,319.25,254.13560485839844,2304000
2003-01-31,317.75,324.25,316.75,323.25,257.31976318359375,3540000
2003-02-03,320.75,327.0,320.0,327.0,260.30487060546875,2196000
2003-02-04,328.75,333.75,325.25,326.5,259.9067687988281,2936000
2003-02-05,326.5,332.75,323.75,330.25,262.8921203613281,3216000
2003-02-06,329.5,331.75,323.25,328.25,261.2999572753906,1904000
2003-02-07,328.25,330.0,323.5,326.75,260.1058349609375,1216000
2003-02-10,327.5,331.75,326.25,329.75,262.4940185546875,1584000
2003-02-11,329.75,329.75,329.75,329.75,262.4940185546875,0
2003-02-12,332.0,341.5,330.0,341.25,271.64849853515625,3228000
2003-02-13,337.5,340.0,329.0,333.25,265.28009033203125,1832000
2003-02-14,333.5,340.0,333.25,334.5,266.2751159667969,5748000
2003-02-17,332.5,341.25,332.5,337.0,268.2652893066406,2380000
